"Incident_ID","Reliability","Date","Quarter","Full_Location","School","City","State","School_Level","Location","Location_Type","During_School","Time_Period","Situation","Bullied","Domestic_Violence","Gang_Related","Preplanned","Shots_Fired","lon","lat"
"20170206LASCB","2",2017-02-06,"Winter","Scotlandville Magnet High School Baton Rouge LA","Scotlandville Magnet High School","Baton Rouge","LA","High","Outside on School Property","Outside on School Property","Yes","Lunch","Escalation of Dispute",NA,NA,"No","No","3",-91.1773058,30.5337012
"20170120OHWEW","5",2017-01-20,"Winter","West Liberty-Salem High School West Liberty OH","West Liberty-Salem High School","West Liberty","OH","High","Bathroom","Inside School Building","Yes","Morning Classes","Indiscriminate Shooting","No","No","No","Yes",NA,-83.754573,40.21598
"20170101DELAH","2",2017-01-01,"Winter","Lake Forest South Elementary School Harrington DE","Lake Forest South Elementary School","Harrington","DE","Elementary","Field (General)","Outside on School Property","No","Not a School Day","Escalation of Dispute","No","No","No","No","Multiple",-75.5830935,38.9306462
"20161209MOBAS","5",2016-12-09,"Winter","Bayless High School St. Louis MO","Bayless High School","St. Louis","MO","High","Gym","Inside School Building","No","Sport Event","Escalation of Dispute","No","No","No","No","1",-90.3014565,38.5521111
"20161201UTMUB","2",2016-12-01,"Winter","Mueller Park Junior High School Bountiful UT","Mueller Park Junior High School","Bountiful","UT","Junior High","Classroom","Inside School Building","No","Morning Classes","Indiscriminate Shooting","Yes","No","No","No","1",-111.8611858,40.8723846
"20161025UTUNS","2",2016-10-25,"Fall","Union Middle School Sandy UT","Union Middle School","Sandy","UT","Middle","Beside Building","Outside on School Property","Yes","Dismissal","Escalation of Dispute","No","No","No","No","3",-111.8743091,40.6065658
"20161011ALVIM","2",2016-10-11,"Fall","Vigor High School Mobile AL","Vigor High School","Mobile","AL","High","Outside on School Property","Outside on School Property","No","After School","Escalation of Dispute","No","No","No","No","1",-88.0803667,30.7431734
"20160928SCTOT","5",2016-09-28,"Fall","Townville Elementary School Townville SC","Townville Elementary School","Townville","SC","Elementary","Playground","Outside on School Property","Yes","Afternoon Classes","Indiscriminate Shooting","Yes","No","No","Yes",NA,-82.9030127,34.5633339
"20160926MSTAJ","2",2016-09-26,"Fall","T A Wilson Academy (bus) Jackson MS","T A Wilson Academy (bus)","Jackson","MS","High","Front of School (Bus)","Outside on School Property","Yes","Dismissal","Escalation of Dispute","No",NA,"No","No",NA,-89.3985283,32.3546679
"20160909PASMY","3",2016-09-09,"Fall","Small Athletic Field (William Penn Senior High School game) York PA","Small Athletic Field (William Penn Senior High School game)","York","PA","High","Parking Lot","Outside on School Property","No","Sport Event","Escalation of Dispute","No","No","No","No",NA,-76.7282007,39.9575864
"20160908TXALA","3",2016-09-08,"Fall","Alpine High School Alpine TX","Alpine High School","Alpine","TX","High","Bathroom","Inside School Building","Yes","Morning Classes","Domestic w/ Targeted Victim","No","Yes","No","No","5",-103.6657327,30.3719701
"20160725MOAVA","3",2016-07-25,"Summer","Ava High School Ava MO","Ava High School","Ava","MO","High","Parking Lot","Outside on School Property","No","Night","Escalation of Dispute","No","No","No","No","4",-92.6593822,36.9558152
"20160630CAWOH","2",2016-06-30,"Summer","Woodrow Wilson Junior High School Hanford CA","Woodrow Wilson Junior High School","Hanford","CA","Junior High","Outside on School Property","Outside on School Property","No","Evening","Unknown",NA,"No","No","No","<10",-119.6535642,36.3345178
"20160616ILMCC","2",2016-06-16,"Summer","Mcnair Elementary School Chicago IL","Mcnair Elementary School","Chicago","IL","Elementary","Parking Lot","Outside on School Property","Yes","Lunch","Unknown",NA,"No","No","No","1",-87.7468807,41.8980114
"20160505MDHIB","2",2016-05-05,"Spring","High Point High School Beltsville MD","High Point High School","Beltsville","MD","High","Parking Lot","Outside on School Property","No","After School","Domestic w/ Targeted Victim",NA,"Yes","No","No","2",-76.9434668,39.0426109
