"Incident_ID","Reliability","Date","Quarter","Full_Location","School","City","State","School_Level","Location","Location_Type","During_School","Time_Period","Situation","Bullied","Domestic_Violence","Gang_Related","Preplanned","Shots_Fired","lon","lat"
"20140403NJUNN","3",2014-04-03,"Spring","Unknown School (bus) Newark NJ","Unknown School (bus)","Newark","NJ",NA,"School Bus","School Bus","Yes","Afternoon Classes","Escalation of Dispute","No","No","No","No",NA,-74.1723667,40.735657
"20140325GABEC","2",2014-03-25,"Spring","Benjamin Banneker High School College Park GA","Benjamin Banneker High School","College Park","GA","High","Parking Lot","Outside on School Property","Yes","Afternoon Classes","Escalation of Dispute","No","No","No","No",NA,-84.5193255,33.5907246
"20140312FLACM","2",2014-03-12,"Spring","Academy of Knowledge Preschool Miami FL","Academy of Knowledge Preschool","Miami","FL","Other","Parking Lot","Outside on School Property","Yes","Afternoon Classes","Domestic w/ Targeted Victim","No","Yes","No","No","1",-80.2358262,25.8824175
"20140220MIRAR","2",2014-02-20,"Winter","Raytown Success Academy Raytown MI","Raytown Success Academy","Raytown","MI","High","Parking Lot","Outside on School Property","Yes","Morning Classes","Domestic w/ Targeted Victim",NA,"No","No","No","14",-94.4764099,39.0302009
"20140211OHCHL","3",2014-02-11,"Winter","Charles F. Brush High School Lyndhurt OH","Charles F. Brush High School","Lyndhurt","OH","High","Parking Lot","Outside on School Property","No","Sport Event","Escalation of Dispute","No","No","No","No","5",-81.5052972,41.5220323
"20140210NCSAS","2",2014-02-10,"Winter","Salisbury High School Salisbury NC","Salisbury High School","Salisbury","NC","High","Beside Building","Outside on School Property","No","Dismissal","Escalation of Dispute","No","No","No","No","1",-80.4845738,35.6643878
"20140127ILREC","2",2014-01-27,"Winter","Rebound High School Carbondale IL","Rebound High School","Carbondale","IL","High","Parking Lot","Outside on School Property","Yes","Lunch","Escalation of Dispute",NA,"No","No","No","1",-89.2260971,37.7284049
"20140117PADEP","2",2014-01-17,"Winter","Delaware Valley Charter School Philadelphia PA","Delaware Valley Charter School","Philadelphia","PA","High","Gym","Inside School Building","No","Sport Event","Escalation of Dispute","No","No","No","No",NA,-75.1652215,39.9525839
"20140114NMBER","5",2014-01-14,"Winter","Berrendo Middle School Roswell NM","Berrendo Middle School","Roswell","NM","Middle","Gym","Inside School Building","Yes","Before School","Bullying","Yes","No","No","Yes","3",-104.5116806,33.4738006
"20140114LASTB","4",2014-01-14,"Winter","St. James High School Baton Rouge LA","St. James High School","Baton Rouge","LA","High","Parking Lot","Outside on School Property","No","Sport Event","Drive-by Shooting","No","No","No","No","<10",-91.1871466,30.4514677
"20140109TNLIJ","2",2014-01-09,"Winter","Liberty Technology Magnet High School Jackson TN","Liberty Technology Magnet High School","Jackson","TN","High","Parking Lot","Outside on School Property","No","Dismissal","Escalation of Dispute","No","No","No","No","1",-88.7590203,35.6750766
"20131213COARC","5",2013-12-13,"Winter","Arapahoe High School Centennial CO","Arapahoe High School","Centennial","CO","High","Other","Inside School Building","Yes","Lunch","Indiscriminate Shooting","Yes","No","No","Yes","5",-104.9627974,39.5816089
"20131204FLWEW","2",2013-12-04,"Winter","West Orange High School Winter Garden FL","West Orange High School","Winter Garden","FL","High","Beside Building","Outside on School Property","No","Dismissal","Escalation of Dispute","No","No","No","No","1",-81.5684275,28.5406621
"20131113PABRP","3",2013-11-13,"Fall","Brashear High School Pittsburgh PA","Brashear High School","Pittsburgh","PA","High","Off School Property","Off School Property","Yes","After School","Escalation of Dispute","No","No","No","No",NA,-80.0182092,40.4191002
"20131103GASTL","2",2013-11-03,"Fall","Stephenson High School Lithonia GA","Stephenson High School","Lithonia","GA","High","Parking Lot","Outside on School Property","No","Not a School Day","Escalation of Dispute","No","No","No","No","1",-84.1245479,33.7745962
"20131021NVSPS","5",2013-10-21,"Fall","Sparks Middle School Sparks NV","Sparks Middle School","Sparks","NV","Middle","Beside Building","Outside on School Property","Yes","Before School","Indiscriminate Shooting","Yes","No","No",NA,"4",-119.7682995,39.5519897
"20131002NHWIS","2",2013-10-02,"Fall","Winnisquam Regional School District Sanbornton NH","Winnisquam Regional School District","Sanbornton","NH",NA,"School Bus","School Bus","Yes","After School","Escalation of Dispute","No","No","No","No","<10",-71.5961328,43.478059
"20130927ILROC","2",2013-09-27,"Fall","Roosevelt High School Chicago IL","Roosevelt High School","Chicago","IL","High","Beside Building","Outside on School Property","Yes","Dismissal","Illegal Activity","No","No","No","No","1",-87.714339,41.9657534
"20130830NCCAW","2",2013-08-30,"Summer","Carver High School Winston-Salem NC","Carver High School","Winston-Salem","NC","High","Beside Building","Outside on School Property","Yes","Afternoon Classes","Escalation of Dispute","Yes","No","No","No","5",-80.2071071,36.1342371
"20130820GAROD","3",2013-08-20,"Summer","Ronald E. McNair Discovery Learning Academy Decatur GA","Ronald E. McNair Discovery Learning Academy","Decatur","GA","Elementary","Office","Inside School Building","Yes","Morning Classes","Psychosis","No","No","No","Yes","Multiple",-84.306962,33.7272193
"20130815TNNOC","2",2013-08-15,"Summer","Northwest High School Clarksville TN","Northwest High School","Clarksville","TN","Middle","Parking Lot","Outside on School Property","No","Night","Escalation of Dispute","No","No","No","No","1",-87.4342488,36.57379
"20130619FLALW","2",2013-06-19,"Summer","Alexander W. Dreyfoos School of the Arts West Palm Beach FL","Alexander W. Dreyfoos School of the Arts","West Palm Beach","FL","High","Office","Inside School Building","No","Not a School Day","Escalation of Dispute","No","No","No","No","4",-80.0595134,26.7086487
"20130618NCHIC","2",2013-06-18,"Summer","Hidden Valley Elementary School Charlotte NC","Hidden Valley Elementary School","Charlotte","NC","Elementary","Parking Lot","Outside on School Property","No","After School","Illegal Activity","No","No","No","No",">10",-80.784279,35.268156
"20130513ALOSB","2",2013-05-13,"Spring","Ossie Ware Mitchell Middle School Birmingham AL","Ossie Ware Mitchell Middle School","Birmingham","AL","Middle","Parking Lot","Outside on School Property","Yes","After School","Escalation of Dispute","No","No","No","No","1",-86.7174764,33.5652437
"20130430NMTUT","2",2013-04-30,"Spring","Tularosa Elementary School Tularosa NM","Tularosa Elementary School","Tularosa","NM","Elementary","Outside on School Property","Outside on School Property","No","Night","Illegal Activity","No","No","No","No","1",-106.0131404,33.072224
"20130213CAHIS","2",2013-02-13,"Winter","Hillside Elementary School San Leandro CA","Hillside Elementary School","San Leandro","CA","Elementary","Beside Building","Outside on School Property","No","Evening","Escalation of Dispute","No","No","No","No","2",-122.1163668,37.7017466
"20130201MIMAD","2",2013-02-01,"Winter","Martin Luther King High School Detroit MI","Martin Luther King High School","Detroit","MI","High","Parking Lot","Outside on School Property","No","Evening","Illegal Activity","No","No","No","No",NA,-83.0162125,42.3433584
"20130111MIOSD","2",2013-01-11,"Winter","Osborn High School Detroit MI","Osborn High School","Detroit","MI","High","Basketball Court","Off School Property","No","Sport Event","Escalation of Dispute","No","No","No","No","<10",-83.0027346,42.434046
"20130110CATAT","5",2013-01-10,"Winter","Taft Union High School Taft CA","Taft Union High School","Taft","CA","High","Hallway","Inside School Building","Yes","Morning Classes","Bullying","Yes","No","No","Yes","2",-119.4605088,35.1463033
"20121214CTSAN","5",2012-12-14,"Winter","Sandy Hook Elementary School Newtown CT","Sandy Hook Elementary School","Newtown","CT","Elementary","Classroom","Inside School Building","Yes","Morning Classes","Indiscriminate Shooting",NA,"No","No","Yes",NA,-73.2773997,41.419961
"20121019ILBAC","3",2012-10-19,"Fall","Banner Academy South Chicago IL","Banner Academy South","Chicago","IL","Other","Beside Building","Outside on School Property","No","After School","Illegal Activity","No","No","No","No",NA,-87.7542455,41.8958192
"20120907ILNON","3",2012-09-07,"Fall","Normal Community High School Normal IL","Normal Community High School","Normal","IL","High","Classroom","Inside School Building","Yes","Morning Classes","Hostage/Standoff","Yes","No","No","Yes",NA,-88.9148777,40.5331449
"20120827MDPEP","5",2012-08-27,"Summer","Perry Hall High School Perry Hall MD","Perry Hall High School","Perry Hall","MD","High","Cafeteria","Inside School Building","Yes","Morning Classes","Indiscriminate Shooting","No","No","No","Yes","2",-76.441093,39.408758
"20120706RINAP","3",2012-07-06,"Summer","Nathaniel Greene Elementary School Pawtucket RI","Nathaniel Greene Elementary School","Pawtucket","RI","Elementary","Beside Building","Outside on School Property","No","Night","Escalation of Dispute","No","No","No","No",NA,-71.4122633,41.8679124
"20120525NCMAC","3",2012-05-25,"Spring","Mary Scroggs Elementary School Chapel Hill NC","Mary Scroggs Elementary School","Chapel Hill","NC","Elementary","Parking Lot","Outside on School Property","Yes","Dismissal","Domestic w/ Targeted Victim","No","Yes","No","No",NA,-79.0684297,35.8791344
"20120525AZWEA","5",2012-05-25,"Spring","West View High School Avondale AZ","West View High School","Avondale","AZ","High","Parking Lot","Outside on School Property","Yes","School Event","Domestic w/ Targeted Victim","No","Yes","No","No","5",-112.292487,33.490018
"20120401ARKIR","2",2012-04-01,"Spring","Kirksey Middle School Rogers AR","Kirksey Middle School","Rogers","AR","Middle","Parking Lot","Outside on School Property","No","Evening","Escalation of Dispute","No","No","No","No","<5",-94.119713,36.298114
"20120306FLEPJ","2",2012-03-06,"Spring","Episcopal School of Jacksonville Jacksonville FL","Episcopal School of Jacksonville","Jacksonville","FL","Unknown","Office","Inside School Building","Yes","Afternoon Classes","Anger Over Grade/Suspension/Discipline","No","No","No","No","<5",-81.6216609,30.3107932
"20120227OHCHC","5",2012-02-27,"Winter","Chardon High School Chardon OH","Chardon High School","Chardon","OH","High","Cafeteria","Inside School Building","Yes","School Start","Indiscriminate Shooting","No","No","No","Yes",NA,-81.2133262,41.5786639
"20120110TXNOH","2",2012-01-10,"Winter","North Forest High School Houston TX","North Forest High School","Houston","TX","High","Hallway","Inside School Building","Yes","Afternoon Classes","Bullying",NA,"No","No","No","1",-95.2602224,29.8668293
"20111228MINOF","3",2011-12-28,"Winter","Northern High School Flint MI","Northern High School","Flint","MI","High","Beside Building","Outside on School Property","No","Sport Event","Escalation of Dispute","No","No","No","No","<10",-83.7361687,43.036336
"20111024NCCAF","3",2011-10-24,"Fall","Cape Fear High School Fayetteville NC","Cape Fear High School","Fayetteville","NC","High","Beside Building","Outside on School Property","Yes","Afternoon Classes","Escalation of Dispute","No","No","No","No","1",-78.7627334,35.0348281
"20110923WAISS","3",2011-09-23,"Fall","Issaquah High School Seattle WA","Issaquah High School","Seattle","WA","High","Football Field/Track","Off School Property","No","Sport Event","Indiscriminate Shooting","No","No","No","No",NA,-122.0286734,47.5224852
"20110413FLSHA","3",2011-04-13,"Spring","Sheeler Charter High School Apopka FL","Sheeler Charter High School","Apopka","FL","High","Parking Lot","Outside on School Property","Yes","Lunch","Escalation of Dispute","No","No","No","No","1",-81.4937766,28.6744681
"20110325INMAM","5",2011-03-25,"Spring","Martinsville West Middle School Martinsville IN","Martinsville West Middle School","Martinsville","IN","Middle","Hallway","Inside School Building","Yes","Before School","Escalation of Dispute","No","Yes","No","No","2",-86.4271695,39.4191607
"20110202CALOP","4",2011-02-02,"Winter","Louisiana Schnell Elementary School Placerville CA","Louisiana Schnell Elementary School","Placerville","CA","Elementary","Office","Inside School Building","Yes","Morning Classes","Escalation of Dispute","No","No","No","No","3",-120.7775017,38.7349803
"20110105NEMIO","5",2011-01-05,"Winter","Millard South High School Omaha NE","Millard South High School","Omaha","NE","High","Office","Inside School Building","Yes","Lunch","Anger Over Grade/Suspension/Discipline","No","No","No","No","3",-96.1462032,41.2039062
"20101129WIMAM","2",2010-11-29,"Fall","Marinette High School Marinette WI","Marinette High School","Marinette","WI","High","Classroom","Inside School Building","No","Evening","Hostage/Standoff","No","No","No","No","4",-87.6303503,45.0820741
"20101023KSTOT","5",2010-10-23,"Fall","Topeka West High School Topeka KS","Topeka West High School","Topeka","KS","High","Field (General)","Outside on School Property","No","Evening","Illegal Activity","No","No","No","No",NA,-95.7462907,39.0316327
"20101008CAKEC","5",2010-10-08,"Fall","Kelly Elementary School Carlsbad CA","Kelly Elementary School","Carlsbad","CA","Elementary","Playground","Outside on School Property","Yes","Lunch","Indiscriminate Shooting","No","No","No","No","6",-117.3119795,33.147224
"20100921SCSOC","4",2010-09-21,"Fall","Socastee High School Conway SC","Socastee High School","Conway","SC","High","Office","Inside School Building","Yes","Afternoon Classes","Bullying","Yes","No","No","Yes","1",-78.9972185,33.6844558
"20100908MIMUD","2",2010-09-08,"Fall","Mumford High School Detroit MI","Mumford High School","Detroit","MI","High","Beside Building","Outside on School Property","Yes",NA,"Escalation of Dispute","No","No","No","No",NA,-83.1632363,42.4214216
"20100830TNSUB","5",2010-08-30,"Summer","Sullivan Central High School Blountville TN","Sullivan Central High School","Blountville","TN","High","Hallway","Inside School Building","Yes","Morning Classes","Hostage/Standoff","No","No","No",NA,"0",-82.3870945,36.5297077
"20100428VAWOP","3",2010-04-28,"Spring","Woodrow Wilson High School Portsmouth VA","Woodrow Wilson High School","Portsmouth","VA","High","Cafeteria","Inside School Building","Yes","Lunch","Bullying","Yes","No","No","No","3",-76.3798262,36.8141251
"20100226WABIT","3",2010-02-26,"Winter","Birney Elementary School Tacoma WA","Birney Elementary School","Tacoma","WA","Elementary","Beside Building","Outside on School Property","Yes","Before School","Domestic w/ Targeted Victim","No","No","No","No","3",-122.4519496,47.1872184
"20100223CODEL","5",2010-02-23,"Winter","Deer Creek Middle School Littleton CO","Deer Creek Middle School","Littleton","CO","Middle","Front of School","Outside on School Property","Yes","Dismissal","Psychosis",NA,"No","No","No","2",-105.1019619,39.5867127
"20100210TNINK","5",2010-02-10,"Winter","Inskip Elementary School Knoxville TN","Inskip Elementary School","Knoxville","TN","High","Office","Inside School Building","No","After School","Anger Over Grade/Suspension/Discipline","No","No","No","No","<10",-83.9585737,36.0099923
"20100120ALLIL","3",2010-01-20,"Winter","Livington High School Livington AL","Livington High School","Livington","AL","High","Beside Building","Outside on School Property","Yes","Afternoon Classes","Domestic w/ Targeted Victim","No","Yes","No","No","4",-88.1845002,32.6104851
"20091211LABOS","2",2009-12-11,"Winter","Booker T. Washington High School Shreveport LA","Booker T. Washington High School","Shreveport","LA","High","Parking Lot","Outside on School Property","Yes","School Start","Domestic w/ Targeted Victim","No","Yes","No","No","4",-93.774143,32.5040265
"20091106PAHAW","3",2009-11-06,"Fall","Hamilton High School (bus) West Philadelphia PA","Hamilton High School (bus)","West Philadelphia","PA","High","School Bus","School Bus","Yes","Before School","Bullying","Yes","No","No","No","1",-75.2248702,39.9600149
"20090916VAVIG","1",2009-09-16,"Fall","Virginia Randolph Community High School Glen Allen VA","Virginia Randolph Community High School","Glen Allen","VA","High","Playground","Outside on School Property","Yes","Afternoon Classes","Bullying",NA,NA,"No","No","2",-77.4818006,37.6618987
"20090908CTSTS","3",2009-09-08,"Fall","Stamford Academy Stamford CT","Stamford Academy","Stamford","CT","High","Parking Lot","Outside on School Property","Yes","School Start","Escalation of Dispute","No","No","No","No","1",-73.5364836,41.0593697
"20090827NCWEF","2",2009-08-27,"Summer","Westover High School Fayetteville NC","Westover High School","Fayetteville","NC","High","Beside Building","Outside on School Property","No","After School","Escalation of Dispute","No","No","No","No","1",-78.9917528,35.0843529
"20090624IAAPP","3",2009-06-24,"Summer","Aplington-Parkersburg High School Parkersburg IA","Aplington-Parkersburg High School","Parkersburg","IA","High","Gym","Inside School Building","Yes","Morning Classes","Psychosis",NA,"No","No","No","6",-92.77853,42.5730354
"20090518LALAL","5",2009-05-18,"Spring","Larose-Cut Off Middle School Larose LA","Larose-Cut Off Middle School","Larose","LA","Middle","Classroom","Inside School Building","Yes","Morning Classes","Indiscriminate Shooting",NA,"No","No","No","2",-90.3648742,29.5626068
"20090310FLRIJ","2",2009-03-10,"Spring","Ribault High School Jacksonville FL","Ribault High School","Jacksonville","FL","High","Hallway","Inside School Building","Yes","School Start","Escalation of Dispute","No","No","No","No",NA,-81.7077094,30.390581
"20090306NCWEF","2",2009-03-06,"Spring","Westover High School Fayetteville NC","Westover High School","Fayetteville","NC","High","Parking Lot","Outside on School Property","No","School Event","Escalation of Dispute","No","No","No","No","1",-78.9917528,35.0843529
"20090302SDROS","2",2009-03-02,"Spring","Robert Frost Elementary School Sioux Falls SD","Robert Frost Elementary School","Sioux Falls","SD","Elementary","Beside Building","Outside on School Property","Yes","Dismissal","Escalation of Dispute",NA,"No","No","No","1",-96.7217857,43.5167054
"20090217MICED","2",2009-02-17,"Winter","Central High School Detroit MI","Central High School","Detroit","MI","High","Hallway","Inside School Building","Yes","Afternoon Classes","Escalation of Dispute","No","No","No","No","<10",-83.1117827,42.3835891
"20090123ILCAC","3",2009-01-23,"Winter","Cahokia High School Cahokia IL","Cahokia High School","Cahokia","IL","High","Parking Lot","Outside on School Property","No","Sport Event","Escalation of Dispute","No","No","No","No","1",-90.1644069,38.5649511
"20090120PAEAE","1",2009-01-20,"Winter","East High School Erie PA","East High School","Erie","PA","High","Gym","Inside School Building","No","Sport Event","Escalation of Dispute","No","No","No","No","<10",-80.0594297,42.137546
"20090120MIBEM","2",2009-01-20,"Winter","Beecher High School Mount Morris Township MI","Beecher High School","Mount Morris Township","MI","High","Basketball Court","Outside on School Property","No","Sport Event","Escalation of Dispute",NA,"No","No","No","25",-83.7153389,43.0984267
"20090120ILCOC","3",2009-01-20,"Winter","Collins HIgh School Chicago IL","Collins HIgh School","Chicago","IL","High","Basketball Court","Outside on School Property","No","Sport Event","Escalation of Dispute","No","No","No","No","1",-87.7011184,41.8640759
"20081231GASHS","1",2008-12-31,"Winter","Shuman Middle School Savannah GA","Shuman Middle School","Savannah","GA","Middle","Beside Building","Outside on School Property","No","Evening","Escalation of Dispute","No","No","No","No","1",-81.066834,32.061822
"20081221SCSUS","2",2008-12-21,"Winter","Summerville High School Summerville SC","Summerville High School","Summerville","SC","High","Parking Lot","Outside on School Property","No","Evening","Escalation of Dispute","No","No","No","No",NA,-80.2182656,32.9941614
"20081212NYWIM","2",2008-12-12,"Winter","William Floyd High School Mastic Beach NY","William Floyd High School","Mastic Beach","NY","High","Parking Lot","Outside on School Property","No","Sport Event","Escalation of Dispute","No","No","No","No","<10",-72.8508782,40.7805739
"20081125TXNOH","1",2008-11-25,"Fall","North Forest High School Houston TX","North Forest High School","Houston","TX","High","Beside Building","Outside on School Property","No","School Event","Escalation of Dispute","No","No","No","No","<10",-95.2602224,29.8668293
"20081118CACEC","2",2008-11-18,"Fall","Central Valley High School Ceres CA","Central Valley High School","Ceres","CA","High","Front of School","Outside on School Property","Yes","Evening","Escalation of Dispute","No","No","No","No","<10",-120.9582765,37.5792271
"20081115COTHL","2",2008-11-15,"Fall","Thompson Valley High School Loveland CO","Thompson Valley High School","Loveland","CO","High","Parking Lot","Outside on School Property","No","Night","Escalation of Dispute","No","No","No","No","1",-105.1006456,40.387895
"20081112FLDIF","2",2008-11-12,"Fall","Dillard High School Fort Lauderdale FL","Dillard High School","Fort Lauderdale","FL","High","Classroom","Inside School Building","Yes","Morning Classes","Domestic w/ Targeted Victim","No","Yes","No","No","1",-80.1759107,26.1396503
"20081031MESTS","2",2008-10-31,"Fall","Stockton Springs Elementary School Stockton Springs ME","Stockton Springs Elementary School","Stockton Springs","ME","Elementary","Classroom","Inside School Building","Yes","Morning Classes","Hostage/Standoff","No","No","No","No","0",-68.8582224,44.4974122
"20081029CAELG","1",2008-10-29,"Fall","Eliot Elementary School Gilroy CA","Eliot Elementary School","Gilroy","CA","Elementary","Classroom","Inside School Building","Yes","Morning Classes","Anger Over Grade/Suspension/Discipline","No","No","No","No","1",-121.5615193,37.0065687
"20081023ALPRP","2",2008-10-23,"Fall","Prattville Christian Academy Prattville AL","Prattville Christian Academy","Prattville","AL","Other","Parking Lot","Outside on School Property","Yes",NA,"Domestic w/ Targeted Victim","No","Yes","No","No","1",-86.4055208,32.4795135
"20080821TNCEK","4",2008-08-21,"Fall","Central High School Knoxville TN","Central High School","Knoxville","TN","High","Cafeteria","Inside School Building","Yes","School Start","Escalation of Dispute","Yes","No","No","Yes","1",-83.9248707,36.0409812
"20080811WAWAK","1",2008-08-11,"Summer","Wallace Elementary School Kelso WA","Wallace Elementary School","Kelso","WA","Elementary","Playground","Outside on School Property","Yes",NA,"Illegal Activity","No","No","No","No","1",-122.9121637,46.134591
"20080214CAEOO","4",2008-02-12,"Winter","E O Green Junior High School Oxnard CA","E O Green Junior High School","Oxnard","CA","Junior High","Classroom","Inside School Building","Yes","Morning Classes","Bullying","Yes","No","No","No","2",-119.1817083,34.1653139
"20080211TNMIM","2",2008-02-11,"Winter","Mitchell High School Memphis TN","Mitchell High School","Memphis","TN","High","Classroom","Inside School Building","Yes","Morning Classes","Escalation of Dispute",NA,"No","No","No","3",-90.0855307,35.0568899
"20080204TNHAM","2",2008-02-04,"Winter","Hamilton High School Memphis TN","Hamilton High School","Memphis","TN","High","Classroom","Inside School Building","Yes","Morning Classes","Escalation of Dispute","No","No","No","No",NA,-90.0167743,35.0999995
"20071010OHSUC","5",2007-10-10,"Fall","SuccessTech Academy Cleveland OH","SuccessTech Academy","Cleveland","OH","Other","Classroom","Inside School Building","Yes","Afternoon Classes","Anger Over Grade/Suspension/Discipline","Yes","No","No","Yes",">10",-81.6948759,41.5038245
"20070930AZSSP","2",2007-09-30,"Fall","S Simon and Jude Catholic School Phoenix AZ","S Simon and Jude Catholic School","Phoenix","AZ","K-8","Parking Lot","Outside on School Property","No","Not a School Day","Escalation of Dispute",NA,NA,"No","No",NA,-112.1164971,33.5298328
"20070928CALAO","3",2007-09-28,"Fall","Las Plumas High School Oroville CA","Las Plumas High School","Oroville","CA","High","Classroom","Inside School Building","Yes","Morning Classes","Hostage/Standoff",NA,"Yes","No",NA,"2",-121.537318,39.479895
"20070617SCBRB","1",2007-06-17,"Summer","Broad River Elementary School Burton SC","Broad River Elementary School","Burton","SC","Elementary","Outside on School Property","Outside on School Property","No","Sport Event","Escalation of Dispute","No","No","No","No","1",-80.7560777,32.4216253
"20070531NCNOG","1",2007-05-31,"Spring","North Garner Middle School Garner NC","North Garner Middle School","Garner","NC","Middle","Outside on School Property","Outside on School Property","Yes",NA,"Indiscriminate Shooting","No","No","No","No","<10",-78.611772,35.716032
"20070530NCVAG","1",2007-05-30,"Spring","Vandora Springs Elementary School Garner NC","Vandora Springs Elementary School","Garner","NC","Elementary","Outside on School Property","Outside on School Property","Yes",NA,"Indiscriminate Shooting","No","No","No","No","<10",-78.6291496,35.6992106
"20070523RIOAC","1",2007-05-23,"Spring","Oak Haven Elementary School Coventry RI","Oak Haven Elementary School","Coventry","RI","Elementary","Playground","Outside on School Property","Yes","After School","Bullying","Yes","No","No","No",NA,-71.5434399,41.6870418
"20070515TXLIL","2",2007-05-15,"Spring","Liberty Memorial Middle School Los Fresnos TX","Liberty Memorial Middle School","Los Fresnos","TX","Middle","Bathroom","Inside School Building","Yes","Morning Classes","Hostage/Standoff",NA,"No","No","No","1",-97.5150368,26.1117043
"20070512TXWEM","2",2007-05-12,"Spring","West Mesquite High School Mesquite TX","West Mesquite High School","Mesquite","TX","High","Parking Lot","Outside on School Property","No","School Event","Escalation of Dispute","No","No","No","No","1",-96.6344129,32.7608338
"20070503OHGED","1",2007-05-03,"Spring","Gettysburg Elementary School Dayton OH","Gettysburg Elementary School","Dayton","OH","Elementary","School Bus","School Bus","Yes","Before School","Indiscriminate Shooting","No","No","No","No",NA,-84.1916069,39.7589478
"20070410ORSPG","2",2007-04-10,"Spring","Springwater Trail High School Gresham OR","Springwater Trail High School","Gresham","OR","High","Classroom; Field","Both Inside/Outside","Yes","Afternoon Classes","Indiscriminate Shooting","No","No","No","Yes","5",-122.4072344,45.4863337
"20070327CTSAH","2",2007-03-27,"Spring","Sarah J. Rawson Elementary School Hartford CT","Sarah J. Rawson Elementary School","Hartford","CT","Elementary","Basketball Court","Outside on School Property","No","Sport Event","Escalation of Dispute","No","No","No","No",NA,-72.7012999,41.7962447
"20070323FLUNO","1",2007-03-23,"Spring","Union Park Elementary School Orlando FL","Union Park Elementary School","Orlando","FL","Elementary","Bathroom","Inside School Building","Yes","Afternoon Classes","Bullying","Yes","No","No","No","<5",-81.2456938,28.5671525
"20070307MIHEM","2",2007-03-07,"Spring","Herbert Henry Dow High School Midland MI","Herbert Henry Dow High School","Midland","MI","High","Parking Lot","Outside on School Property","Yes","Morning Classes","Murder/Suicide","No","Yes","No","No","5",-84.2754104,43.6407382
"20070227GACLA","1",2007-02-27,"Winter","Clifton Elementary School Atlanta GA","Clifton Elementary School","Atlanta","GA","Elementary","Bathroom","Inside School Building","Yes","Morning Classes","Unknown","No","No","No","No","1",-84.3017665,33.6965647
"20070226CASLA","1",2007-02-26,"Winter","Slauson Middle School Azusa CA","Slauson Middle School","Azusa","CA","Middle","Hallway","Inside School Building","Yes","Morning Classes","Indiscriminate Shooting","No","No","No","No","<5",-117.9117127,34.1295018
"20070207FLPAJ","1",2007-02-07,"Winter","Paxon Middle School Jacksonville FL","Paxon Middle School","Jacksonville","FL","Middle","ND","ND","Yes",NA,"Escalation of Dispute","No","No","No","No","4",-81.655651,30.3321838
"20070131ILHIC","2",2007-01-31,"Winter","Hillcrest High School Country Club Hills IL","Hillcrest High School","Country Club Hills","IL","High","Parking Lot","Outside on School Property","No","Sport Event","Escalation of Dispute","No","No","No","No","<6",-87.7121816,41.5733525
"20070118PAWIP","2",2007-01-18,"Winter","William L.Sayre High School Philadelphia PA","William L.Sayre High School","Philadelphia","PA","High","Beside Building","Outside on School Property","Yes","School Start","Escalation of Dispute","No","No","No","No","11",-75.2387773,39.9574634
"20070109NVWEL","2",2007-01-09,"Winter","Western High School Las Vegas NV","Western High School","Las Vegas","NV","High","Parking Lot","Outside on School Property","Yes","School Start","Escalation of Dispute","No","No","No","No","<10",-115.2029928,36.1768125
"20070108OHROC","2",2007-01-08,"Winter","Robert A. Taft Information Technology High School Cincinnati OH","Robert A. Taft Information Technology High School","Cincinnati","OH","High","Hallway","Inside School Building","Yes","Lunch","Indiscriminate Shooting",NA,"No","No","No","1",-84.5230385,39.1092579
"20070103WAHET","2",2007-01-03,"Winter","Henry Foss High School Tacoma WA","Henry Foss High School","Tacoma","WA","High","Hallway","Inside School Building","Yes","Morning Classes","Psychosis","No","No","No","No","1",-122.4963129,47.2395702
"20070102NCWEF","2",2007-01-02,"Winter","Westover High School Fayetteville NC","Westover High School","Fayetteville","NC","High","Front of School","Outside on School Property","Yes","Dismissal","Escalation of Dispute",NA,"No","No","No","<10",-78.9917528,35.0843529
"20061213PABAB","1",2006-12-13,"Winter","Bangor Area High School Bangor PA","Bangor Area High School","Bangor","PA","High","Beside Building","Outside on School Property","Yes","Dismissal","Unknown","No","No","No","No","<10",-75.1514574,40.8856663
"20061111CALIO","3",2006-11-11,"Fall","Lionel Wilson College Prep School Oakland CA","Lionel Wilson College Prep School","Oakland","CA","High","Gym","Inside School Building","No","Night","Escalation of Dispute","No","No","No","No",NA,-122.1800595,37.7296328
"20061031TNHAK","2",2006-10-31,"Fall","Halls High School Knoxville TN","Halls High School","Knoxville","TN","High","Parking Lot","Outside on School Property","No","Evening","Illegal Activity","No","No","No","No","2",-83.9258996,36.088592
"20061010NYPOP","2",2006-10-10,"Fall","Ponoma Middle School Pomona NY","Ponoma Middle School","Pomona","NY","Middle","School Bus","School Bus","Yes","After School","Unknown",NA,"No","No","No","2",-74.052019,41.166532
"20061009MOMEJ","5",2006-10-09,"Fall","Memorial Middle School Joplin MO","Memorial Middle School","Joplin","MO","Middle","Hallway","Inside School Building","Yes","Morning Classes","Anger Over Grade/Suspension/Discipline","No","No","No","Yes","1",-94.513281,37.0842271
"20061002PAWEN","5",2006-10-02,"Fall","West Nickel Mines School Nickel Mines PA","West Nickel Mines School","Nickel Mines","PA","K-12","Classroom","Inside School Building","Yes","Morning Classes","Indiscriminate Shooting","No","Yes","No","Yes",NA,-76.0804172,39.9592143
